name,status,description,date,time
Bluecrew,Hiring,,4/7/2020,12:13pm
BlueGrace ,Hiring,,3/31/2020,2:46pm
Blueground,"Layoffs,Hiring freeze","The CEO announced March 27th the layoff of ""over 130 colleagues, a quarter of our team, who are either permanently leaving the company or taking a leave of absence."" Additionally, he states that they had roles across ""a number of business functions."" For a short article and the announcement itself, see: https://startupper.gr/news/59220/h-blueground-apolyi-to-1-4-tou-prosopikou-tis/.",3/29/2020,7:25am
BlueOptima,Hiring,Hiring multiple open roles. https://www.blueoptima.com/careers,4/8/2020,7:15am
"BlueOwl, LLC",Hiring,Hiring multiple roles ,4/2/2020,11:30am
Blueshift,Hiring freeze,,4/16/2020,6:48pm
Bluesnap,Hiring freeze,,3/30/2020,1:56pm
BlueVine,Hiring,,4/5/2020,11:18am
Blume Global,Layoffs,Throughout. About 10% of the company. Multiple reports,3/30/2020,4:32pm
BMC Software,Hiring,,4/10/2020,8:31am
BMF Media,Hiring freeze,Furlough entire company / Core execs continue to communicate with clients.,4/9/2020,8:24pm
BMO Financial Group,Hiring freeze,Hiring freeze until further notice (4/17),4/17/2020,1:19pm
BMO Harris Bank,Hiring freeze,Hiring freeze - only essential positions are being filled (very rare).,3/29/2020,1:15am
BMW,"Hiring freeze,Layoffs",,3/31/2020,11:59pm
BNP Paribas CIB,Hiring freeze,Reports of hiring and a hiring freeze. See below:,4/3/2020,12:08pm
Bnsf,Hiring,Accounting ,3/31/2020,8:57pm
BNY Mellon,"Hiring freeze,Layoffs,Hiring",Conflicting reports. See below:,4/2/2020,4:13pm
Board of Innovation,Hiring freeze,All open vacancies are frozen,3/30/2020,4:51am
BoardBookit,Hiring,"Software Engineer, Sales",4/1/2020,9:27am
boces,Hiring,,4/15/2020,12:17pm
Boden,Hiring freeze,Ecommerce x 1 role still open,3/30/2020,11:44am
Boeing,"Hiring freeze,Layoffs,Hiring","Conflicting reports of hiring, a hiring freeze, and claims of layoffs. Details below:",4/9/2020,5:06pm
Boeing Defense Space & Security ,Hiring,Classified Programs are still hiring ,3/30/2020,3:05pm
Boeing Space,Hiring,Boeing space is still hiring even though it is unbelievably slow.,3/29/2020,10:09am
BOEM,Hiring,,4/7/2020,5:54pm
Boingo,Hiring,,4/1/2020,2:48am
Bol.com,Hiring freeze,,4/9/2020,3:57am
Bold Commerce,Hiring freeze,,3/31/2020,2:04am
Bold Penguin,Hiring freeze,,3/30/2020,10:33am
Bolt,"Hiring,Layoffs",Conflicting reports of continued hiring and claims of layoffs. See below:,4/11/2020,5:59pm
Bombardier,Hiring freeze,Some unconfirmed reports of furloughs and 1 report of a hiring freeze of full-time and internships.,4/5/2020,9:53am
Bombas,Hiring freeze,They are not selling so they freeze hiring.,4/1/2020,11:31pm
Bombora,Hiring,,3/31/2020,4:53pm
Bonify,Hiring freeze,,4/15/2020,5:47am
Bonnier Corp,Layoffs,,3/30/2020,2:37pm
Bonsai,Hiring,"Product Management, Devops",4/8/2020,1:41pm
Bonusly,Hiring freeze,ALL - reported marketing and HR,3/31/2020,2:02pm
Bookaway,"Hiring freeze,Layoffs",,3/29/2020,3:53pm
BookBub,Hiring freeze,"Allow work remotes for already hired interns, but currently no hirings for any departments.",4/6/2020,6:32pm
Booking Holdings,Hiring freeze,,4/15/2020,9:34am
Booking.com,Hiring freeze,Reports of a hiring freeze. Details below:,4/11/2020,10:26pm
Boost Healthcare Consulting,Hiring,We are still looking for motivated and capable individuals! ,4/14/2020,1:22am
Boostability,Hiring freeze,all roles,3/30/2020,5:36pm
Boots,Hiring,,3/31/2020,4:05pm
Booyah Advertising,Layoffs,Laid of 20% of employees,3/30/2020,8:00pm
Booz Allen Hamilton,"Hiring freeze,Hiring",Multiple reports of hiring and hiring freeze. See below:,4/4/2020,9:38am
BorgWarner,Hiring,,4/17/2020,4:37pm
Borrowell,Hiring freeze,,3/30/2020,4:46pm
Bose,"Hiring freeze,Hiring",Conflicting reports,4/2/2020,1:08am
Boston,Hiring freeze,,4/1/2020,3:32pm
Boston Children's Hospital,Hiring,"Still hiring, but deferring a lot of start dates unless critical to hospital operations and/or patient care. ",4/6/2020,3:36pm
Boston market,Layoffs, laid off a big population of their HQ employees,3/29/2020,9:13am
Boston properties,Hiring,,4/2/2020,2:56pm
Boston Scientific,"Hiring freeze,Offers rescinded","Reports of a hiring freeze, continued hiring and offers rescinded. See below:",3/28/2020,7:45am
Boston University,Hiring freeze,University-wide freeze except for faculty positions. Few positions may elicit approval for leadership to move forward.,3/31/2020,7:10pm
bot,Hiring,,4/2/2020,2:08pm
Botpress,Hiring,Hiring in all positions,4/2/2020,7:23pm
Bottomline,Hiring,,3/31/2020,8:38am
Boulevard ,Hiring,Engineering Roles ,3/30/2020,4:12pm
Bounce,Hiring freeze,1 report of a hiring freeze,4/8/2020,11:51am
BounceX,"Hiring,Layoffs",Multiple claims of layoffs and a hiring freeze. Details below:,4/10/2020,5:17pm
bowdoin,Hiring,construction,4/7/2020,1:37pm
Bowers & Wilkins,"Layoffs,Hiring freeze",Reports of layoffs and a hiring freeze. Details below:,4/6/2020,1:27pm
Bowling Green State University,Hiring freeze,"""soft"" freeze; all offers and searches must be approved by president",3/31/2020,5:10pm
Bowtie Life Insurance Company Limited,Hiring,We are hiring across,3/31/2020,11:46am
Box,Hiring freeze,Multiple reports of a hiring freeze. Details below:,3/28/2020,9:31pm
Box inc,Hiring freeze,,4/1/2020,3:03pm
Boys Town,Hiring,"Youth Care, Social Services, Nursing, Housekeeping",4/14/2020,9:19am
BP,Hiring freeze,+1 new repot of a hiring freeze with no note,4/3/2020,5:16pm
BPM,Hiring freeze,Froze onsite interviews,3/28/2020,7:24am
Brainlabs ,Hiring freeze,,3/31/2020,11:37pm
Braintree,Hiring,Product & Engineering,4/17/2020,2:38am
Branch.io,"Layoffs,Hiring freeze,Offers rescinded",Multiple layoff reports. Details below:,4/10/2020,6:09pm
Brandify,Hiring,Strategic Account Managers,3/30/2020,7:36pm
Branding Brand,Hiring,,3/28/2020,4:53pm
Brandloyalty,Hiring,,3/31/2020,11:24pm
BrandResumes,Hiring,"Hiring for sales, engineering, and marketing ",4/7/2020,1:13am
Brandwatch,Hiring freeze,Offer for April 6th start date rescinded,3/30/2020,8:59pm
Brattle Group,Hiring freeze,I was interviewing for an associate role and I completed my interview 4 weeks ago. I was notified last week that all hiring has been paused,3/29/2020,2:03pm
Brave One Agency,Hiring,,4/3/2020,12:29pm
Brave Software,Hiring freeze,,3/30/2020,6:46pm
Bravely,Hiring freeze,Across the board,4/3/2020,12:40am
Braviant Holdings,Layoffs,,3/31/2020,2:41pm
Bravo ,Hiring,,3/30/2020,11:42pm
Braze,Hiring,+5 reports of hiring,3/28/2020,10:23am
BREAD BEAUTY SUPPLY,Hiring,Marketing and Graphic Design,4/6/2020,9:37pm
Bread Finance,Hiring,,4/2/2020,4:10pm
Brevitas,Hiring freeze,,4/15/2020,4:38am
Brewster Ambulance,Hiring freeze,All New Hires,3/30/2020,4:34pm
Brex,"Hiring,Hiring freeze","Candor confirmed with verified Brex representative: ""we are still hiring for all engineering, product, and design (3/31). Further ongoing reports below:",4/1/2020,12:08am
brideside,Hiring,,4/7/2020,2:09pm
Bridgepoint Consulting,Hiring,,4/1/2020,4:42pm
Bridgespan Group,"Hiring freeze,Hiring",I recently applied for a consultant position in their SF office and they notified me that put their spring hiring on hold. 1 report of hiring.,4/3/2020,5:56pm
Bridgestone,Hiring,"Automotive Tech, Maintenance Tech, Retail",4/8/2020,9:14am
Bridgewater ,Hiring,,4/1/2020,10:27am
Bright ,Hiring,,4/7/2020,11:30am
Bright Health,"Hiring freeze,Offers rescinded",Report from employee that hiring is on freeze and internship offers cancelled,3/29/2020,10:02am
Bright Horizons,Layoffs,Reports of layoffs on 4/1,4/1/2020,5:22pm
Bright Machines,"Layoffs,Hiring",Conflicting reports of hiring and unsubstantiated claims of layoffs. Details below:,4/14/2020,11:55am
Bright River,"Layoffs,Hiring freeze",Affecting USA operations only,3/29/2020,2:07pm
Brightfield,Hiring,"Sales, Business Analyst, Help Desk Support, Developer, CPO, VP Sales, CS Specialist, BDR Manager",4/14/2020,9:08am
BrightHire,Hiring,Engineering,3/31/2020,9:01am
brighthouse financial,Hiring,,4/3/2020,2:27pm
Brightidea,Hiring,,4/2/2020,9:55pm
Brightloom,Hiring,"Data Science, Machine Learning, Software Engineering",4/3/2020,6:40pm
Brightwheel,Hiring,"Open roles: Marketing, Engineering, Product, Customer Support",3/31/2020,1:05pm
Brilliant,Hiring,"Hiring engineers, designers, and data scientists in the Bay Area.",3/28/2020,6:33pm
Brinker,Hiring,,4/3/2020,6:37pm
Bristol Meyers Squibb,Hiring freeze,Sr. Process Engineer position was cancelled via email. No phone interview yet.,4/2/2020,12:05pm
Bristol Myers Squibb,Hiring,Cell Therapy Development & Operations,4/12/2020,1:49am
britenet,Hiring,,3/31/2020,3:30am
British Land,Hiring freeze,All roles,3/31/2020,12:21pm
British Telecom,Hiring,,3/31/2020,9:39am
British telecom,Hiring,,4/8/2020,9:19pm
Brittan Resorts,Hiring freeze,,4/6/2020,7:24pm
brixmor,Hiring,,4/2/2020,9:45am
Broadcom,"Hiring freeze,Hiring",+2 report of a hiring freeze and +2 reports of hiring.,4/3/2020,5:03pm
Broadhaven,Hiring freeze,,4/6/2020,6:24am
Broadly,Layoffs,,4/6/2020,8:20pm
BroadRidge,Hiring,,3/31/2020,1:12pm
Broadstaff,Hiring,Still hiring on behalf of our Telecommunication Clients,3/31/2020,12:00pm
Broadway Technology,Hiring freeze,,4/16/2020,1:01pm
Broker,Hiring,,4/6/2020,6:24pm
bronx defender,Hiring,,4/1/2020,1:20am
Brooklinen,Hiring,,4/2/2020,5:26pm
Brooklyn Museum,Hiring freeze,Stated on their website -- https://www.brooklynmuseum.org/about/careers,4/1/2020,12:00am
Brooks,Hiring,,4/2/2020,3:56pm
brose,Hiring,multiple reports of hiring ,4/7/2020,11:31am
Brother,Hiring freeze,,3/31/2020,2:19pm
brown and brown insurance,Hiring,,4/7/2020,3:29pm
Brown brothers,Hiring,,3/30/2020,8:11pm
Brown University,Hiring freeze,,4/3/2020,7:51pm
BRP,Hiring freeze,Offers Rescinded ,3/30/2020,6:21pm
Bruker,Hiring freeze,,4/3/2020,11:48pm
Brunel University,Hiring,Only executive and where offers have been made.,4/12/2020,3:57am
Brunswick ,Hiring,,4/13/2020,12:31am
brystal myers squibb,Hiring,,3/30/2020,12:05pm
bryter,Hiring,"all open roles, fully remote since forever ",4/3/2020,6:52am
BRYTER,Hiring,please change the spelling of the company to all caps but keep everything else the same,4/8/2020,9:31am
BSJJ,Hiring,,4/10/2020,9:09am
Buchanan and Edwards,Hiring,TS/SCI cleared IT professionals,4/1/2020,11:25am
bud,Hiring,"Engineering, Data Science, Platform",4/1/2020,8:17am
Buffalo Group,Hiring,Only looking for people with a clearance.,3/30/2020,7:24pm
Buffalo Wild Wings,Hiring,,4/15/2020,2:35pm
Buffy,Hiring freeze,had a big layoff mid-Feb and now hiring is frozen,3/31/2020,1:25pm
Bugsnag,Hiring,,4/13/2020,12:04pm
BUILD Robotics,Hiring freeze,Software Engineer,4/3/2020,10:59am
Buildertrend,Hiring freeze,,4/2/2020,11:40am
Buildium,Hiring,Still hiring for all posted roles,3/30/2020,3:12pm
Buildout,Hiring freeze,multiple reports,3/31/2020,3:09pm
BuildZoom,Hiring freeze,Told by Principle not hiring until after Covid,4/2/2020,1:36pm
Built,Hiring,,4/7/2020,2:44pm
Built In,Hiring freeze,Sales applicants were told hiring is on hold,4/1/2020,10:20am
Built Robotics,Hiring freeze,Hiring Freeze until this calms down (4/12),4/13/2020,1:01pm
Bukalapak,Hiring,,4/6/2020,2:54am
Bulb,Hiring,,3/31/2020,5:58am
Bulbul,Hiring freeze,,3/31/2020,5:26pm
Bulldog,Hiring freeze,,3/31/2020,10:27am
Bullhorn,Hiring,2 people have on boarded this month remotely (myself included),3/30/2020,3:33pm
Bumble,Hiring,Officially verified by company,3/30/2020,5:43pm
Bungalow,Layoffs,,4/3/2020,10:07pm
Bungie,Hiring,all roles,3/31/2020,5:19pm
Bunzl,Hiring freeze,Offers rescinded,3/30/2020,12:33pm
bupa,Hiring,,4/16/2020,7:16am
Bupa,Layoffs,,3/30/2020,7:05am
Burberry,Hiring freeze,,3/30/2020,7:28pm
Burger Lounge,Layoffs,Laid off 90% of their corporate employees,3/28/2020,6:41am
Burley Design,Hiring,,4/15/2020,6:30pm
Burlington Stores,Hiring,,4/16/2020,11:53am
Business Insider,Hiring freeze,,4/2/2020,4:11pm
businessolver,Hiring,Customer facing roles,3/30/2020,7:49pm
Bustle Digital Group (BDG),Hiring freeze,,3/31/2020,11:48am
Busuu,Hiring,"Technology, Business Development and Finance roles",4/9/2020,5:20am
Button,"Hiring freeze,Layoffs",,4/13/2020,11:36am
BuzzFeed,"Hiring freeze,Offers rescinded",Doing pay cuts on a sliding scale based on salary level. ,3/28/2020,1:49pm
Bynder,Hiring,,4/1/2020,5:49am
byte,Hiring,,4/7/2020,12:43am
bytedance,Hiring,+1 report of hiring with no note,3/30/2020,6:30pm
Byteridge,Hiring freeze,,4/9/2020,3:16am
Bytex,Hiring,Engineering,4/8/2020,12:05pm
Byton,Layoffs,Pay Freeze for remaining employees,3/30/2020,5:55pm
Byton NA Corp,Hiring freeze,,4/2/2020,12:21am
Bürkert,Hiring,Machinists,3/30/2020,11:09pm
C3.ai,Hiring freeze,Multiple reports of a hiring freeze and unsubstantiated claims of layoffs. See below:,4/16/2020,1:32pm
CAA,"Hiring freeze,Hiring",+1 report of hiring,4/14/2020,7:34pm
Cabify,Hiring freeze,All engineering hiring is stopped,3/31/2020,9:57am
Cabin,"Hiring freeze,Layoffs","Multiple reports of freeze, layoff reported in operations",4/1/2020,12:14am
CableLabs,Hiring freeze,,4/6/2020,1:03pm
CACI,Hiring,https://careers.caci.com/,3/31/2020,1:00pm
Cadence,Hiring,,3/31/2020,2:33pm
Cadence noida,Hiring,,4/2/2020,3:30am
Cadre ,"Offers rescinded,Hiring freeze","one report, no details",3/28/2020,9:17pm
Cadreon,Hiring,,3/31/2020,2:54pm
cae,Hiring,,4/6/2020,10:49am
Caelum,Hiring freeze,,3/30/2020,3:46pm
CafeMedia,Hiring,Actively hiring,4/3/2020,9:52am
Caffeine,Hiring freeze,,4/12/2020,8:08pm
Cal state,"Hiring,Hiring freeze",1 report of a hiring freeze,4/11/2020,9:09pm
Cala Health,Hiring,,3/31/2020,6:44pm
Calamigos ranch,Hiring freeze,,4/2/2020,8:58pm
CalAmp,Hiring freeze,IT,4/3/2020,2:51am
Calendly,Hiring,,3/29/2020,2:29pm
Caleras,"Layoffs,Hiring freeze","Furloughed  some corporate staff, 20% pay reduction to everyone not laid off",4/3/2020,7:51pm
Caleres,Layoffs,"All store employees laid off. Some corporate staff furloughed, others received a 20% pay cut.",3/31/2020,7:17pm
Caliber Home Loans,Hiring,,4/2/2020,1:05pm
Calico,Hiring,"Hiring software engineers, data scientists, and biologists",3/31/2020,6:31pm
Calico Life Sciences,Hiring,Hiring in all areas at South San Francisco location,4/1/2020,1:07pm
CallisonRTKL,Layoffs,Several claims of layoffs. Details below:,4/15/2020,8:33am
callisto,Hiring freeze,,3/31/2020,2:04pm
CallMiner,Hiring freeze,All hiring paused.,4/3/2020,2:27pm
CallRail,Hiring freeze,,3/30/2020,3:42pm
CallTrackingMetrics,Hiring freeze,,4/4/2020,7:03am
Calvin Klein,Hiring freeze,Freeze and furloughs as of 04/07,4/10/2020,4:55pm
Cambridge Innovation Center,Hiring,,4/6/2020,4:26pm
Cambustion,Hiring,,4/8/2020,4:07am
Camelot,Hiring,,3/30/2020,9:17am
Cameo,Hiring freeze,,3/30/2020,10:18pm
Campbell Soup,Hiring,,4/1/2020,7:17am
Camplight,Hiring,,4/2/2020,11:50am
CampusWorks Inc,Hiring,"Colleague and Banner Programmers, PM's",3/31/2020,12:03pm
Canada Basketball,Hiring freeze,,4/1/2020,3:42pm
Canada Life,Hiring freeze,Most roles except internal,4/2/2020,4:27pm
Canadian,"Hiring freeze,Hiring",+1 report of hiring,4/14/2020,11:48am
Canadian imperial bank of commerce ,Hiring,,4/6/2020,8:22am
canadian natural resources,"Hiring freeze,Hiring",Engineer in Training,4/4/2020,11:15am
Canadian tire,Hiring,,4/10/2020,6:13pm
Canback Consulting,"Hiring,Hiring freeze",Reports of a hiring freeze. See below:,4/12/2020,2:11pm
Cancer Treatment Centers of America,Layoffs,,3/30/2020,6:19pm
Candid,Hiring freeze,,4/1/2020,12:22am
Candor,"Hiring,Hiring freeze",,4/7/2020,5:44pm
Cannabis,Hiring,,4/2/2020,9:03am
Canon,"Hiring freeze,Hiring",,4/7/2020,7:39pm
Canonical Ltd.,Hiring,"Hiring (mostly) as normal. Company mostly remote since inception. Remote-first company, hiring all roles",3/31/2020,1:56am
Canopy,Hiring freeze,,3/28/2020,7:42pm
Canto,Hiring freeze,,3/31/2020,2:32am
Canva,Hiring,,3/29/2020,5:53pm
Capco,Hiring freeze,,3/30/2020,8:52am
capezio,Hiring freeze,,4/1/2020,6:46pm
Capgemini,"Hiring,Hiring freeze","Multiple conflicting reports of continued hiring, hiring freeze, and claims of layoffs. Details below:",4/1/2020,12:24am
Capillary Technologies,Layoffs,Multiple claims of layoffs. Details below:,3/30/2020,10:45am
Capita,Hiring,,3/31/2020,4:06am
capita plc,Hiring,,4/17/2020,3:55am
capital,Hiring freeze,,4/13/2020,5:10pm
Capital blue ,Hiring,,4/5/2020,12:16pm
Capital city public charter school,Hiring,,4/1/2020,7:31pm
Capital Group,Hiring,,4/1/2020,3:47pm
Capital Markets Gateway,Hiring,Software Engineering - https://www.linkedin.com/jobs/search/?f_C=19059700,3/30/2020,5:10pm
Capital One,"Hiring,Hiring freeze",Multiple reports of hiring and a few of a hiring freeze. Details below:,4/4/2020,2:22pm
Capstone,Hiring,,4/4/2020,7:47am
Capsule,Hiring,,3/29/2020,7:10pm
CapTech Consulting,Hiring freeze,All roles,3/29/2020,7:40pm
Captify,Hiring,,4/1/2020,7:48pm
Caption Health,Hiring,Actively hiring across all roles,4/1/2020,6:05pm
Captioncall ,Hiring,,3/31/2020,1:38pm
CaptivateIQ,Hiring,Only Engineering ,3/31/2020,1:46pm
Captrust,Hiring freeze,,4/6/2020,12:00pm
Car gurus ,Hiring,,4/8/2020,7:05pm
Caravelo,Hiring,,4/8/2020,1:02pm
Carbon Health,Hiring,,4/1/2020,1:14am
Carbon Lighthouse,Hiring,Hiring in many roles across the company,3/31/2020,9:38pm
Carbonite,"Hiring,Hiring freeze",1 report of a hiring freeze,4/10/2020,12:35pm
Cardinal Health,Hiring,,3/30/2020,1:10pm
Cardiva medical,Layoffs,,3/30/2020,9:41pm
Cardlytics,Hiring freeze,,3/30/2020,12:16pm
Cardone Training Technologies,Hiring freeze,,4/7/2020,12:38am
CardX,Hiring freeze,,3/28/2020,9:17am
Care.com,Hiring freeze,Current offers being honored.,4/3/2020,3:58pm
carecentrix,Hiring,,4/2/2020,9:08am
CareCloud,Layoffs,(note removed by Candor due to abusive language),3/30/2020,2:15pm
CareDx,Hiring,,4/9/2020,12:46pm
Careem,Hiring freeze,Engineering,4/1/2020,3:24am
CareerBuilder,"Hiring freeze,Layoffs",Multiple claims of layoffs and reports of a hiring freeze. Details below:,4/16/2020,11:52am
CareMount Medical,Hiring freeze,,4/3/2020,7:00pm
Carfax Inc,Hiring freeze,Reports of hiring freeze with a pay cut (reports of it being between 10%-20%) and a 4 day work week(Mon-Thurs).,3/31/2020,9:38pm
Cargill,"Hiring freeze,Hiring",All roles. There have been no layoffs yet. 2 additional reports of hiring especially for Self-Service Analytics Platform Engineers.,4/4/2020,12:32pm
CarGurus,"Hiring freeze,Offers rescinded,Layoffs","Multiple reports of a hiring freeze, offers rescinded, and claims of layoffs. Details below:",4/16/2020,1:37pm
carlsberg,Hiring,,3/31/2020,4:39am
Carlson ,Hiring,,4/1/2020,4:51pm
carlson wagonlit travel,Hiring freeze,,4/3/2020,9:26am
Carmax,"Hiring freeze,Layoffs",Multiple claims of layoffs and a hiring freeze. See below: ,4/1/2020,12:28am
Carnival Corporation,Hiring freeze,,3/29/2020,4:16pm
Carousel Group,Hiring,"Hiring React & Scala Developers, UI/UX and a number of temporary remote workers to help during coronavirus.",3/30/2020,5:36am
Carphone Warehouse,Hiring freeze,data engineer,4/8/2020,3:53pm
Carrier ,"Hiring,Hiring freeze",Reports of hiring and a hiring freeze. See below:,4/7/2020,12:11pm
Carrier Direct,"Hiring freeze,Offers rescinded,Layoffs",,3/28/2020,3:21pm
Carrot Fertility,Hiring freeze,,4/15/2020,11:26am
"Carrot, Inc.",Layoffs,,3/30/2020,6:34pm
Carrus,Hiring freeze,,3/28/2020,7:43pm
Cars.com,Hiring freeze,Multiple reports of a hiring freeze. See below:,3/28/2020,12:02am
Carshield ,Hiring,Sales/Pre-Sales/Customer Service ,4/13/2020,8:04pm
Carta,"Hiring,Layoffs","Developing reports of hiring, a hiring freeze only for business roles, and claims of layoffs. See below:",4/15/2020,4:48pm
Carter's,Hiring freeze,,4/3/2020,8:48pm
CARTO,"Hiring freeze,Layoffs",Reports of a hiring freeze and claims of layoffs. Details below:,4/17/2020,12:54pm
Cartoon Network ,Hiring freeze,,4/2/2020,2:44pm
Cartwright king,Hiring,,3/30/2020,7:22am
Carvana,"Hiring freeze,Hiring",Multiple reports of hiring and a hiring freeze. See below:,4/13/2020,5:36pm
CasaOne,Hiring freeze,I was applying for a biz ops role and the recruiter said they are pausing hiring. So not totally sure about all roles but definitely for ops. 1 report of Hiring freeze confirmed.,3/28/2020,6:31pm
Cascade,Hiring,Engineering and design,4/1/2020,8:02pm
cascades,Hiring,,3/30/2020,11:42am
Cascadia Behavioral Healthcare,Hiring,Outpatient mental health clinicians,3/31/2020,8:21pm
Case Western Reserve University,Hiring freeze,,4/9/2020,4:35pm
Casebook PBC,Hiring,"Product Managers, Data Engineers. See https://www.casebook.net/jobs for more",3/30/2020,4:30pm
Caserta & Spiriti,Hiring,,4/6/2020,6:41pm
Cash App,Hiring,Still hiring across the board,4/8/2020,3:52pm
Casper,Hiring,+1 report of hiring,3/30/2020,11:33am
"Castlight Health, Inc.",Hiring,Still hiring across multiple departments in California and Utah.,3/30/2020,1:09am
catalant,Layoffs,,3/30/2020,12:52pm
Catalant Technologies,"Hiring freeze,Layoffs",,3/29/2020,12:06am
Catalent Biologics,Hiring,,3/30/2020,8:56pm
Catalina Marketing,Hiring freeze,,4/9/2020,8:26am
Catalyst Software,Hiring,,3/31/2020,2:36pm
Catapult Federal Services,Hiring,,4/6/2020,6:55am
Catawiki,Hiring,"Across company (backend, frontend, mobile, QA, etc)",4/3/2020,10:30am
Catch,Hiring,Product Designer,4/8/2020,11:45am
Catchpoint,"Hiring freeze,Hiring","3 reports of hiring certain roles and offices specifically engineering, sales, product, marketing. ",4/3/2020,7:31pm
catenon,Hiring freeze,,3/31/2020,3:25am
Cater2.me,Hiring,,3/31/2020,3:56pm
Caterpillar,Hiring,,3/31/2020,3:48am
cathay pacific,Layoffs,,3/30/2020,11:25pm
Causaly,Hiring,,3/30/2020,12:08pm
Cayman chemical,Hiring freeze,,4/3/2020,9:05pm
CB Insights,Hiring,Still hiring for full-time positions and intern positions. A good amount of people have just started in the last couple weeks.,4/6/2020,4:46pm
CBI,Hiring,,4/1/2020,10:46am
Cboe Global Markets,Hiring,,3/31/2020,3:13pm
CBRE,"Hiring freeze,Hiring",Multiple reports of hiring freeze and hiring. Details below:,4/3/2020,5:10pm
CBS interactive,Hiring freeze,Intern Program cancelled,3/27/2020,7:52pm
ccc,Hiring,,4/6/2020,3:44pm
cctech,Hiring freeze,,4/13/2020,1:45am
Cdc,Hiring,,4/6/2020,5:08pm
CDK Global ,"Hiring freeze,Hiring",Reports of a hiring freeze and hiring. Details below:,4/17/2020,12:54pm
CDM Smith,Hiring,,4/10/2020,8:43pm
CDW,Hiring,,4/4/2020,8:11pm
Ceco concrete,Hiring freeze,,3/30/2020,9:31pm
Cedars-Sinai,Hiring,Certain roles,4/9/2020,11:31am
cegedim,Hiring freeze,,3/31/2020,2:55pm
Cegeka,Hiring,,4/10/2020,11:18pm
cel-sci,Hiring,,4/6/2020,8:59am
Celanese ,"Hiring freeze,Hiring",,4/4/2020,12:43pm
Celarity,Hiring,,4/8/2020,11:08am
Celerity,Hiring,Tech,4/9/2020,4:33pm
"Celigo, Inc",Hiring freeze,Product management & engineering,4/6/2020,10:36am
Cellebrite,"Layoffs,Hiring freeze",Reports of a hiring freeze and claims of layoffs. Details below:,4/13/2020,12:48pm
Cellular Sales,Hiring,Sales Consultants,3/30/2020,5:00pm
Celonis,Hiring,"Across all departments, especially Sales, Marketing, CSM",3/30/2020,1:53pm
Cemex,Hiring,,4/9/2020,7:53pm
"CenCore, LLC",Hiring,"Hiring ""Mission Essential"" personnel only. Apply at https://cencorellc.us/careers/.",4/2/2020,1:39pm
Cencosud,Hiring freeze,,4/2/2020,7:05pm
Cenlar FSB,Hiring,Many open positions ,4/15/2020,9:11pm
Cenovus,Hiring freeze,,3/31/2020,10:19am
Censys,Hiring freeze,,3/30/2020,3:33pm
Centene,Hiring,3 reports of hiring,4/1/2020,12:40am
Center for Collaborative Classroom,Hiring freeze,furlough; no layoffs,4/1/2020,12:42am
Center Theatre Group,Hiring freeze,,3/31/2020,10:38pm
CenterSquare Investment Management,Hiring freeze,HR detailed positions on hold ,4/3/2020,5:32pm
Central 1,Hiring,still hiring,3/31/2020,2:34pm
CentralSquare Technologies,Layoffs,"Layoffs of experienced members, sales falling",3/31/2020,5:20pm
Centre for Public Impact,Hiring freeze,,3/31/2020,4:34pm
CentricSource,Hiring,,3/31/2020,12:55pm
Centro,Hiring freeze,Open offers will be honored,3/31/2020,1:21pm
Centura Health,Hiring freeze,,4/6/2020,8:57pm
Century 21 Stores,Hiring freeze,"As of mid-March, 80% of corporate furloughed and 90-100% of store employees furloughed",4/7/2020,4:24pm
Centurylink,Hiring,,3/30/2020,6:23pm
Cepheid,Hiring,,4/14/2020,2:35pm
ceplan,Hiring,,4/10/2020,11:20am
Cerebri AI,Layoffs,"Layoffs across sales, marketing, customer success and few VP positions",4/1/2020,4:54pm
Cerence,Layoffs,multiple reports,3/30/2020,9:48pm
Ceridian,"Hiring freeze,Hiring",Reports of a hiring freeze and hiring. Details below:,4/16/2020,12:53pm
Cerner,Hiring,5 reports of hiring and 1 report of hiring freeze.,4/2/2020,3:43am
Ceros,Hiring freeze,Only hiring essential roles,4/8/2020,10:49pm
CertiK,Hiring,"Software Engineering, PM, & Marketing",4/1/2020,1:22pm
CET Academic Programs,Hiring freeze,,4/7/2020,1:33pm
CF industries,Hiring,,3/30/2020,11:54am
CGI,"Hiring,Hiring freeze",Multiple reports of hiring and hiring freeze. See below:,4/1/2020,11:36am
Chainalysis ,"Hiring,Hiring freeze",Hiring - Engineering and Accounting. One report of a hiring freeze.,4/13/2020,7:02pm
Chairish,"Hiring freeze,Layoffs",Multiple claims of layoffs. See below:,4/15/2020,4:53pm
Chamberlain University,Hiring,,3/30/2020,1:05pm
Chan Zuckerberg Initiative,Hiring,,3/28/2020,7:08pm
Chanel,Hiring freeze,,3/30/2020,8:34am
Change Healthcare,Hiring freeze,"4/14Change Healthcare is hiring freeze, only essential positions are hiring",4/15/2020,7:50pm
Change.org,Hiring,,3/31/2020,9:44pm
ChangeUp,Hiring,Roles available are listed on our website. ,4/3/2020,3:33pm
Channels Brief ,Hiring freeze,Research ,4/14/2020,8:21am
Character Lab,Hiring,"Executive Assistant, and School Partnerships Manager",4/1/2020,11:45am
Charge Point,"Layoffs,Hiring freeze",,3/28/2020,4:14pm
Chargeback,Hiring,,3/30/2020,11:28pm
